id,name,populacao,homicidios
1,Aerolândia,11.360,17
2,Aeroporto,8.618,2
3,José de Alencar,0,20
4,Aldeota,42.361,8
5,Alto da Balança,12.814,10
6,Álvaro Weyne,23.690,21
7,Amadeu Furtado,11.703,0
8,Ancuri,11.703,18
9,Antônio Bezerra,25.846,16
10,Autran Nunes,21.208,18
11,Bairro de Lourdes,3.370,0
12,Barra do Ceará,72.423,70
13,Barroso,29.847,45
14,Bela Vista,16.754,17
15,Benfica,12.954,2
16,Bom Futuro,6.405,0
17,Bom Jardim,37.758,53
18,Bonsucesso,41.198,25
19,Cais do Porto,22.382,19
20,Cajazeiras,14.478,11
21,Cambeba,7.625,4
22,Canindezinho,41.20223,22
23,Carlito Pamplona,29.076,17
24,Castelão,16.754,17
25,Centro,28.538,30
26,Cidade 2000,8.272,5
27,Cidade dos Funcionários,18.256,9
28,Coaçu,7.188,0
29,Cocó,20.492,1
30,Conjunto Ceará,42.894,13
31,Conjunto Esperança,16.405,15
32,Conjunto Palmeiras,36.599,46
33,Couto Fernandes,5.260,4
34,Cristo Redentor,26.717,17
35,Curió,7.636,11
36,Damas,10.719,2
37,Demócrito Rocha,10.994,5
38,Dendê,5.637,5
39,Dias Macedo,12.111,10
40,Dionísio Torres,15.634,3
41,Dom Lustosa,13.147,4
42,Dunas,1.447,3
43,Edson Queiroz,22.210,24
44,Ellery,7.863,6
45,Luciano Cavalcante,15.543,1
46,Farias Brito,12.063,1
47,Fátima,23.309,7
48,Floresta,28.896,10
49,Genibaú,40.336,37
50,Gentilândia,12.954,0
51,Granja Lisboa,52.042,32
52,Granja Portugal,39.651,26
53,Guajeru,6.668,0
54,Guararapes,5.266,2
55,Henrique Jorge,26.994,6
56,Itaoca,12.477,10
57,Itaperi,22.563,8
58,Jacarecanga,14.204,11
59,Jangurussu,50.479,57
60,Jardim América,12.264,8
61,Jardim Cearense,10.103,1
62,Jardim das Oliveiras,29.571,31
63,Jardim Guanabara,14.919,6
64,Jardim Iracema,23.184,29
65,João XXIII,18.398,10
66,Joaquim Távora,23.450,4
67,Jóquei Clube,19.331,7
68,José Bonifácio,8.848,3
69,Lagoa Redonda,27.949,13
70,Maraponga,10.155,12
71,Mata Galinha,0,1
72,Meireles,36.982,2
73,Messejana,41.689,46
74,Mondubim,76.044,47
75,Monte Castelo,13.215,12
76,Montese,25.970,4
77,Moura Brasil,3.765,6
78,Mucuripe,13.747,10
79,Padre Andrade,12.936,6
80,Panamericano,8.815,7
81,Papicu,18.370,11
82,Parangaba,30.947,11
83,Parque Araxá,6.715,0
84,Parque Dois Irmãos,27.236,14
85,Parque Iracema,8.409,2
86,Parque Manibura,7.529,0
87,Parque Presidente Vargas,7.192,9
88,Parque Santa Maria,0,6
89,Parque Santa Rosa,12.790,8
90,Parque São José,10.486,17
91,Parquelândia,14.432,6
92,Parreão,11.072,0
93,Passaré,50.940,32
94,Paupina,14.665,12
95,Pedras,1.342,1
96,Pici,42.494,23
97,Pirambu,17.775,38
98,Planalto Ayrton Senna,39.446,30
99,Praia de Iracema,3.130,11
100,Praia do Futuro,18587,24
101,Prefeito José Walter,33.427,25
102,Presidente Kennedy,23.004,2
103,Quintino Cunha,47.277,36
104,Rodolfo Teófilo,19.114,4
105,Sabiaguaba,2.117,9
106,Salinas,4.298,0
107,São Bento,11.964,0
108,São Gerardo,14.505,3
109,São João do Tauape,27.598,24
110,Sapiranga,32.158,13
111,Serrinha,28.770,21
112,Siqueira,33.628,30
113,Varjota,8.421,2
114,Vicente Pinzón,45.518,34
115,Vila Manuel Sátiro,37.952,9
116,Vila Pery,20.645,6
117,Vila União,15.378,10
118,Vila Velha,61.617,31
200,Bairro não identificado,0,6
